,Source,GUID,LastName,MiddleName,FirstName,Street,City,State,Zip,Phone,ID-DOC
14662,CCCR,CCCR-08c57af2-444f-47c7-8860-75df24620d6d,Puddifoot,Gormadoc,Peony,2324 Station Street,San Jose,CA,95131.0,5109404560,5.51512129489e+15
1385,CCCR,CCCR-08e20a55-8603-4305-8048-0196aecb89ce,Noakes,Nob,Falco,4212 Hilltop Street,Springfield,MA,1103.0,,5.53601214478e+15
1436,CCCR,CCCR-09c91ff8-0d20-4997-bc0c-afeca518c5d9,Smallburrow,Semolina,Cara,1526 Cimmaron Road,Los Angeles,CA,90017.0,,4.91617898244e+15
13650,CCCR,CCCR-0af55c39-4c66-4fb7-80ee-deb0b2d8574d,Clayhanger,Chilimanzar,Lalia,4051 Washington Street,Corpus Christi,TX,78476.0,3613570778,4.48544634341e+15
5477,CCCR,CCCR-0c1c985e-743a-423f-901e-2284cf6744a9,Chubb-Baggins,Robin,Cora,4168 Cessna Drive,Fort Wayne,IN,46802.0,,5.28553797778e+15
2812,CCCR,CCCR-0c56336f-9046-468d-a1e8-b3a3b14108e8,Lothran,Menegilda,Wilibald,4415 Tanglewood Road,Jackson,MS,39201.0,,4.55666660154e+15
13324,CCCR,CCCR-0ee7b037-eff2-482f-b09a-ef50096937cf,Tunnelly,Erling,Gerontius,95 Columbia Road,Philadelphia,DE,19103.0,3029436769,4.53965794588e+15
12560,CCCR,CCCR-0fa63655-29dd-4dec-acc4-d30a5e7dcb80,Goldworthy,Melilot,Drogo,829 Arron Smith Drive,Honolulu,HI,96813.0,,4.55653015101e+15
5281,CCCR,CCCR-1224a03d-8204-47dc-913f-2eeef8160ae2,Goldworthy,Mungo,Belinda,4571 Mercer Street,Eau Claire,WI,54701.0,,5.36781628252e+15
17816,CCCR,CCCR-129647e7-ead6-47c4-b51b-b9de9585bca9,Smallburrow,Theobald,Mantissa,903 Pleasant Hill Road,Boca Raton,FL,33487.0,5619813591,4.71628378541e+15
19837,CCCR,CCCR-12f6fb98-28d6-4ede-a109-61534a58e664,Bolger,Robinia,Tanta,1488 Stonepot Road,Rochelle Park,NJ,7662.0,9084107884,4.53983761577e+15
1597,CCCR,CCCR-16998ac4-a95c-4466-9475-4e97b9bfd393,Brandagamba,Tomba,Folcard,3279 Francis Mine,Sacramento,CA,95814.0,,5.50582102392e+15
12196,CCCR,CCCR-175e000c-f6f8-4362-a920-f4f6bfae18ac,Brownlock,Poppy,Priamus,4557 Stonepot Road,Newark,NJ,7102.0,,5.18613376952e+15
4468,CCCR,CCCR-18350209-4cca-4f8c-af6f-9044992fbae1,Lothran,Dora,Dora,3424 Woodlawn Drive,New Berlin,WI,53151.0,,4.91633611512e+15
5253,CCCR,CCCR-197051fc-de40-455d-b7ce-e51e87c5e218,Sackville,Timba,Meneaduc,91 Atha Drive,Bakersfield,CA,93301.0,,4.55618379711e+15
19697,CCCR,CCCR-1b555e56-046e-4172-bd89-f612b8ad15d6,Bracegirdle,Falco,Hamfast,1483 Sunrise Road,Henderson,NV,89014.0,7029483508,4.53931232377e+15
10834,CCCR,CCCR-1b5f3c88-47e8-4fbd-8753-287de420f5f2,Gamgee,Dodinas,Guido,961 Hoffman Avenue,New York,NY,10007.0,,5.3470679308e+15
18154,CCCR,CCCR-1c9ebd1d-5234-457c-bfdd-aefb6c7e7b06,Headstrong,Tolman,Bell,3345 Thompson Street,Los Angeles,CA,90017.0,5626254859,5.36219803863e+15
18946,CCCR,CCCR-1f70356b-65d3-432d-88ce-a02b8e1f1ff4,Underhill,Jasmine,Bladud,393 Birch Street,Indianapolis,IN,46204.0,3178221385,4.53952424397e+15
2191,CCCR,CCCR-2679980a-1fa5-4e0f-850c-7c8a4c1edcd2,Zaragamba,Pervinca,Lily,3999 Linden Avenue,Orlando,FL,32789.0,,4.48592602812e+15
10383,CCCR,CCCR-287589da-2740-44a1-90c7-ed3587b09d15,Zaragamba,Jessamine,Everard,2388 Richland Avenue,Sugar Land,TX,77487.0,,5.31187624839e+15
4422,CCCR,CCCR-287ed3b6-815a-41f5-99f4-2dab82deed3c,Gardner,Theobald,Bungo,1293 Spring Avenue,Philadelphia,PA,19108.0,,5.2538216836e+15
4164,CCCR,CCCR-287f69b5-590b-445f-946e-1905fc7cb534,Zaragamba,Bildat,Alfrida,4208 Carter Street,Stlouis,IL,63101.0,,5.4321911545e+15
11424,CCCR,CCCR-2de59481-94b6-4af4-9b74-03dec6a9269f,Underhill,Reginard,Celedor,2865 Sharon Lane,South Bend,IN,46601.0,,5.51723976812e+15
17469,CCCR,CCCR-2ef2922d-59af-482e-9b22-0de1896929d3,Brownlock,Merimac,Saradas,741 Camden Street,Reno,NV,89501.0,7752977640,4.71653448831e+15
5023,CCCR,CCCR-303170c5-f918-4f0e-a7d4-782cc42d721b,Greenhand,Hilda,Amalda,3527 Hoffman Avenue,New York,NY,10007.0,,5.1209227223e+15
19764,CCCR,CCCR-3117adb0-905a-4923-abc5-7c6c77d23fe5,Diggle,Semolina,Lalia,877 Edsel Road,Los Angeles,CA,90017.0,8183693660,4.53253095562e+15
6596,CCCR,CCCR-3424a53e-5737-4e55-8eab-cb455437abe3,Brandagamba,Chica ,Gorbulas,2541 Public Works Drive,Chattanooga,TN,37403.0,,5.31528920431e+15
5544,CCCR,CCCR-424d9c34-8f15-4940-b775-84ef28ed35fd,Sandheaver,Mantissa,Belba,4486 Thorn Street,Cheyenne,WY,82001.0,,5.40218220101e+15
11612,CCCR,CCCR-4f053446-3c5a-4c2c-992f-32edeec4a1da,Burrowes,Magnus,Gundolpho,1011 Big Indian,Kenner,LA,70062.0,,5.43657701931e+15
14517,CCCR,CCCR-5bce4735-aa80-4874-be7b-2f5cbc8a7155,Goodchild,Lalia,Harding,1478 Elk Street,Anaheim,CA,92805.0,9497346117,5.53053634534e+15
2387,CCCR,CCCR-5ea50b32-98c6-4b41-b9e9-b5c073002bf5,Greenhand,Jasmine,Basso,4974 Fincham Road,San Diego,CA,92103.0,,4.71641357057e+15
12906,CCCR,CCCR-66f98710-7028-4788-ba3c-4038dd6bb0ed,Burrowes,Diamond,Crispus,2548 Granville Lane,Rochelle Park,NJ,7662.0,,4.48551515169e+15
14822,CCCR,CCCR-84488d1b-b533-472b-8173-d2903f26f16f,Underhill,Mirabella,Regina,2909 Cerullo Road,Louisville,KY,40202.0,5024670385,5.19379652742e+15
14658,CCCR,CCCR-9a5d5d7e-d708-4d0d-822a-e888e0ec6454,Goold,Theodoric,Regina,443 Deans Lane,White Plains,NY,10601.0,9148726796,5.36913713725e+15
17054,CCCR,CCCR-ab665a4e-dec9-4682-b37e-cb82f5466bb2,Brownlock,Pansy,Sagramor,4744 Glendale Avenue,North Hollywood,CA,91601.0,8186220321,5.38510248956e+15
7100,CCCR,CCCR-b508ce3e-3294-4667-80ae-562644b5c10b,Button,Angelica,Kalimac,245 Tavern Place,Beckley,WV,25801.0,,4.92916115124e+15
6535,CCCR,CCCR-c456145a-05b7-4a64-9c57-b466258b3333,Boffin,Bildat,Ranugad,3796 Cody Ridge Road,Guymon,OK,73942.0,,5.36682472388e+15
17456,CCCR,CCCR-c679e492-50b0-43b6-bc45-a4d3643a47ff,Twofoot,Estella,Nora ,311 Goldleaf Lane,Newark,NJ,7102.0,2016393793,4.53212472501e+15
13505,CCCR,CCCR-e1ec6450-7bbf-4979-8c13-15d533773f6e,Sackville,Hildigrim,Pearl,2711 Alpaca Way,Irvine,CA,92614.0,7147282321,4.48599515135e+15
125585,HPA,HPA-09644454-e18b-482c-8762-6cde5a58b04a,Goodchild,,Marcho,Adamsville Road ,Brownsville,TX,78520.0,,
108168,HPA,HPA-0df5de5c-806e-4a56-950d-ec653967ce39,Sackville-Baggins,,Chica ,Diane Street ,Goleta,CA,93117.0,,
136211,HPA,HPA-175a193b-ea9e-4420-a227-fce31d9762f8,Lothran,,Prima,Wilkinson Court ,Cape Coral,FL,33904.0,,
126430,HPA,HPA-20fefd92-c6af-4d03-ae33-42d032b1f9b1,Bolger-Baggins,,Caradoc,Ersel Street ,Dallas,TX,75212.0,,
111955,HPA,HPA-22639a0e-b987-4030-9ac4-3a7f0a3b6961,Grubb,,Asphodel,Evergreen Lane ,Los Angeles,CA,90017.0,,
100875,HPA,HPA-3ada26e3-a5c6-464c-9408-b7efa8beb323,Tunnelly,,Bellisima,Carolyns Circle ,Dallas,TX,75204.0,,
148238,HPA,HPA-3d2f8dd8-83ea-4996-855b-b4fb20235fd6,Gammidge,,Carambo,Carolyns Circle ,Frisco,TX,75034.0,,
137301,HPA,HPA-3e10f915-ed08-44f8-bc78-5a0ae91c7479,Brandybuck,,Caramella,Meadow Lane ,San Jose,CA,95134.0,,
130648,HPA,HPA-4079eaec-ff91-4886-93b8-93fa6b73f17d,Brandagamba,,Melba,Brentwood Drive ,Austin,TX,78744.0,,
102851,HPA,HPA-51b2d9db-3bd2-4483-a700-5afa8fe3c69b,Sackville,,Caramella,Lincoln Drive ,Lititz,PA,17543.0,,
112460,HPA,HPA-6d786a22-7928-4980-84ce-b5dc16eac423,Burrowes,,Bellisima,Peck Court ,Laguna Beach,CA,92651.0,,
111758,HPA,HPA-76750b1f-1bed-456a-8623-46cb0a617e36,Roper,,Carambo,Koontz Lane ,North Hollywood,CA,91605.0,,
144631,HPA,HPA-77125f63-19c1-4443-afcb-3574a728bdd6,Took-Took,,Rosa,Circle Drive ,Houston,TX,77032.0,,
100418,HPA,HPA-810c7261-cb25-4568-8cd7-84803d2f5576,Diggle,,Pamphila,Mcwhorter Road ,Jackson,MS,39201.0,,
131067,HPA,HPA-90eb4e39-d031-41f2-9afd-fcce39263d36,Took,,Jemima,Brannon Street ,Los Angeles,CA,90014.0,,
137726,HPA,HPA-971a57bd-0a17-4bdf-b80b-ef7757f89401,Gardner,,Hildigard,My Drive ,Garden City,NY,11530.0,,
100917,HPA,HPA-a42de753-63e8-4584-88e1-fbd960709c87,Tunnelly,,Wilibald,Spinnaker Lane ,Rockford,IL,61101.0,,
104089,HPA,HPA-cb969e5e-1ce1-4eb1-8ad1-1facb5f47fd3,Underhill,,Inigo,Tanglewood Road ,Jackson,MS,39201.0,,
150462,HR,HR-01357f45-4c5b-40d6-a82a-1136e987555f,,,,2037 Pointe Lane,Hollywood,FL,33020.0,9549245311,
166955,HR,HR-02a9fd56-de21-46bd-83f9-3651b9bb53a5,Smallburrow,,,866 Washington Street,Corpus Christi,TX,78476.0,3613783165,
166269,HR,HR-0a160a9a-1473-4a91-a8fa-f019250b8dbe,Sackville-Baggins,I,Belinda,3933 Ford Street,San Jose,CA,95131.0,4084346039,
162672,HR,HR-0c144f62-6fde-4e83-a974-e543a1517b2e,,,,3986 Sherwood Circle,Lafayette,LA,70506.0,3372463620,
166780,HR,HR-0ee91b34-37e4-4b4d-8fc1-13c1dd239b70,Headstrong,,,164 Freed Drive,Stockton,CA,95202.0,2096317794,
159241,HR,HR-14e113f4-c21c-4a3a-b576-59f502f6059e,Greenhand,P,Flambard,547 Maple Street,Los Angeles,CA,90017.0,7142913119,
150240,HR,HR-1beb9e15-7c20-4bfb-9dba-4c76b6ade1fa,,,,2021 Lodgeville Road,Minneapolis,MN,55402.0,6123188298,
157664,HR,HR-1c6a829d-df2a-4b9f-9d63-ccadc86608ce,Sackville,C,Merimas,4378 Sunburst Drive,Fort Myers,FL,33901.0,2394700747,
152850,HR,HR-23d92c4d-2068-4990-80f3-d3409c2e59f9,Gawkroger,C,Pippin,265 Bastin Drive,Philadelphia,PA,19103.0,4847583417,
167022,HR,HR-2611a185-b197-455e-8d12-84b339d95434,Bolger-Baggins,,,3792 Dovetail Estates,Clinton,OK,73601.0,5809700422,
148804,HR,HR-2c413308-a8fc-47ed-8595-47b0e716de14,Bunce,C,Briffo,1705 Crowfield Road,Phoenix,AZ,85018.0,6029128109,
156929,HR,HR-2c4d6571-8638-40b0-bb40-4f2c999d30b2,Gawkroger,T,Rowan,4833 Willow Greene Drive,Montgomery,AL,36104.0,3342238747,
157831,HR,HR-31091742-9425-4764-916a-282429658f03,Mugwort,S,Jemima,4003 Quarry Drive,Dothan,AL,36303.0,3348055883,
164103,HR,HR-38541b18-37de-409a-8876-30c37d403ae2,Rumble,C,Nora ,1524 Southside Lane,Los Angeles,CA,90029.0,3236661218,
166926,HR,HR-39139b9e-d401-4cdb-a7dd-52e95e0c11c6,Goldworthy,,,3632 Morris Street,San Antonio,TX,78205.0,8302870587,
165331,HR,HR-3a83af63-6669-4f27-aac2-96f3c3014511,Headstrong,P,Toby,1165 Hilltop Haven Drive,Newark,NJ,7102.0,9738053463,
156982,HR,HR-47728f5d-100c-4c5f-8740-ce6bcafae9b9,Gardner,J,Wilimar,756 Bridge Street,Tulsa,OK,74120.0,9188730441,
161810,HR,HR-4e6f1cf5-6d58-47f7-b04d-dbf23f572ea3,Zaragamba,S,Cora,1028 Tetrick Road,Fort Myers,FL,33901.0,8632304543,
155184,HR,HR-4eac94e7-98fa-45fe-868f-cee00f66f51f,Gamgee,M,Salvia,918 Forest Drive,Mclean,VA,22101.0,7038741293,
154643,HR,HR-51bd86aa-ade6-49f7-8c8e-6e3aadd59f23,Bolger,P,Vigo,4088 Wood Street,Saginaw,MI,48607.0,9892237275,
148720,HR,HR-647cd32c-366e-49f2-87d7-ffa8389188b6,Baggins,M,Marmaduc,212 Emma Street,Lubbock,TX,79401.0,8068312976,
164445,HR,HR-6660dbf9-5f4a-4645-b2e1-4363aa99417e,Bolger-Baggins,R,Ferdinand,2062 Delaware Avenue,San Francisco,CA,94108.0,4152965123,
155117,HR,HR-6bfc44e9-1fef-47fa-b8f0-40634f6995a1,Chubb-Baggins,M,Hamilcar,3806 Logan Lane,Denver,CO,80202.0,3032848594,
150852,HR,HR-6dbc800e-c481-4508-920d-4fab64f53ede,,,,3665 Jarvis Street,Buffalo,NY,14202.0,7168469501,
154779,HR,HR-72120324-3d96-4471-9c91-646f5908b63b,Roper,E,Rose,4585 Park Street,Oakland,CA,94612.0,9254257811,
165238,HR,HR-7412c9f4-b0b7-4d5c-8b95-8ce410c057ae,Clayhanger,F,Camelia,3834 Retreat Avenue,Birmingham,AL,35203.0,2052790330,
160333,HR,HR-89c8dd3b-2d99-42e3-bce6-666a20c9e06b,Gawkroger,T,Cara,4475 Kembery Drive,Lombard,IL,60148.0,6306276747,
158900,HR,HR-b13fcad5-613a-42ad-98c3-da8aae47cf95,Sandyman,O,Cornelia,1654 Seth Street,San Angelo,TX,76903.0,3256588731,
158843,HR,HR-b22fd740-33aa-4096-9868-44107ecae2ea,Sackville-Baggins,I,Eglantine,4863 Java Lane,Columbia,SC,29201.0,8035404148,
158759,HR,HR-e813cfad-ec2c-400d-a65e-a04c206d2195,Gamgee,D,Jo,3926 Kovar Road,Boston,MA,2110.0,5085625034,
